TR MBAS_001: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_002: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_003: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_004: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_005: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_006: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_007: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_008: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_009: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_010: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_011: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_012: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_013: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_014: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_015: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_016: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_017: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_018: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_019: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_020: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_021: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_022: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_023: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_024: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_025: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_026: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_027: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_028: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_029: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_030: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_031: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_032: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_033: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_034: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_035: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_036: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_037: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_038: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_039: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_040: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_041: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_042: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_043: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_044: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_045: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_046: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_047: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_048: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_049: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_050: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_051: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_052: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_053: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_054: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_055: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_056: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_057: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_058: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_059: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_060: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_061: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_062: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_063: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_064: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_065: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_066: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_067: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_068: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_069: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
